,protein_name
514,ARFGAP2_ARFG2
515,RGS8_RGS8
516,TNS2_TENC1
517,SLCO5A1_SO5A1
518,BRPF1_BRPF1
519,KIF16B_KI16B
520,ZDHHC14_ZDH14
521,GJD2_CXD2
522,AGFG1_NUPL
523,TXNIP_TXNIP
524,GGA3_GGA3
525,ANAPC7_APC7
526,SHC4_SHC4
527,CRABP2_RABP2
528,PTP4A2_TP4A2
529,LCN1_LCN1
530,CPT1B_CPT1B
531,POU2F1_PO2F1
532,LRIT2_LRIT2
533,JAK2_JAK2
534,PPARGC1A_PRGC1
535,RORC_RORG
536,TNFRSF18_GITR
537,PIEZO1_FA38A
538,PCDHGB1_PCDGD
539,DLX4_DLX4
540,LRRC4B_LRC4B
541,AAGAB_P34
542,INTS3_INT3
543,IGDCC3_IGDC3
544,ARHGAP1_RHG01
545,CRABP1_RABP1
546,S100A2_S100A2
547,PTPRH_PTPRH
548,EMC1_EMC1
549,TJP1_ZO1
550,CD7_CD7
551,PTS_PTPS
552,CBL_CBL
553,TPK1_TPK1
554,BPGM_PMGE
555,SMAD4_SMAD4
556,DES_Desmin
557,BUB1_BUB1
558,CAP1_CAP_1
559,HSPA1L_HS71L
560,TARDBP_TADBP
561,RPS6KA1_KS6A1
562,EEF2K_EF2K
563,RPIA_RPIA
564,SHMT1_cSHMT
565,EGFLAM_EGFLA
566,AARS_SYAC
567,DUSP6_DUS6
568,ACAP2_CENB2
569,ANAPC10_APC10
570,CCM2_CCM2
571,SARS2_SYSM
572,ETS2_ETS2
573,ARRDC3_ARRD3
574,MRRF_RRFM
575,SRI_Sorcin
576,SNAP29_SNP29
577,IGBP1_IGBP1
578,RRAS2_RRAS2
579,TRIB2_TRIB2
580,RUVBL1_RUVB1
581,CRYGD_CRGD
582,TMEM57_MACOI
583,KAT2B_PCAF
584,APOF_Apo_F
585,TRA2B_TRA2B
586,PAFAH1B3_PA1B3
587,CDKN2D_p19_INK4d
588,TAPBP_TPSN
589,CBR1_CBR1
590,DDX58_DDX58
591,COPS7B_CSN7B
592,CAPN3_CAN3
593,RNPEP_AMPB
594,PDLIM4_PDLI4
595,ORC6L_ORC6
596,PDZD7_PDZD7
597,ARL1_ARL1
598,C16orf54_CP054
599,DARS2_SYDM
600,HIBCH_HIBCH
601,PAX4_PAX4
602,CCDC50_CCD50
603,UBE2T_UBE2T
604,STAMBPL1_STALP
605,RAB39B_RB39B
606,DIRAS3_ARHI
607,RAB22A_RB22A
608,RAB7B_RAB7B
609,MAX_MAX
610,EDF1_EDF1
611,TPRKB_TPRKB
612,GPD1L_GPD1L
613,ALOX15B_LX15B
614,A1CF_A1CF
615,THYN1_THYN1
616,ARF6_ARF6
617,MOB1A_MOL1B
618,CDC25B_MPIP2
619,LYPLAL1_LYPL1
620,PAIP1_PAIP1
621,PELO_PELO
622,CACYBP_CYBP
623,ARL11_ARL11
624,IST1_K0174
625,GSTO1_GST_omega_1
626,ULK3_ULK3
627,MPG_3MG
628,IRF9_ISGF3
629,RHOD_RHOD
630,NR5A2_NR5A2
631,ANKRD27_ANR27
632,PPIH_PPIH
633,PMVK_PMVK
634,BACH1_BACH1
635,SUV420H2_SV422
636,NXF1_NXF1
637,NTMT1_NTM1A
638,MYNN_MYNN
639,PFKFB3_F263
640,ADI1_MTND
641,CHP1_CHP1
642,PLEKHA1_PKHA1
643,PSMA7_PSA7
644,SIRT5_SIRT5
645,SETMAR_SETMR
646,KLHL13_KLH13
647,HNRNPA1_ROA1
648,MAPRE1_MARE1
649,STAU1_STAU1
650,KCTD5_KCTD5
651,CLIC5_CLIC5
652,TIGAR_TIGAR
653,TSN_TSN
654,RPL30_RL30
655,PRKAR1B_KAP1
656,OTUD5_OTUD5
657,BPTF_BPTF
658,RORB_RORB
659,PITPNB_PIPNB
660,GLRX2_GLRX2
661,MCTS1_MCTS1
662,LAMTOR3_LTOR3
663,OTUB2_OTUB2
664,GABARAPL2_GBRL2
665,NUDT16L1_SDOS
666,TAX1BP3_TX1B3
667,SH3GL2_SH3G2
668,UBA2_SAE2
669,TBCA_TBCA
670,GPR68_SPR1
671,LMOD1_LMOD1
672,ITPKC_IP3KC
673,VPS24_CHMP3
674,COMMD1_COMD1
675,STAP1_STAP1
676,SLC41A2_S41A2
677,GLTP_GLTP
678,METTL1_METTL1
679,UCK2_UCK2
680,TEAD4_TEAD4
681,PDCD5_TFAR19
682,PBRM1_PB1
683,CDKN2C_CDN2C
684,RAD23B_RD23B
685,SAT2_SAT2
686,THRA_THA
687,WRNIP1_WRIP1
688,FKBP6_FKBP6
689,CKS1B_CKS_1
690,ERVV_1_ERVV1
691,CDC34_UB2R1
692,CYTH2_CYH2
693,CALCOCO2_CACO2
694,XRCC1_XRCC1
695,MTMR6_MTMR6
696,PURA_PURA
697,RGS7_RGS7
698,RHOG_RHOG
699,ZNF560_ZN560
700,SMTN_SMTN
701,RRAGC_RRAGC
702,HPGDS_PTGD2
703,ITCH_ITCH
704,VRK1_VRK1
705,RAD51L3_RA51D
706,UBE2C_UBE2C
707,NOVA1_NOVA1
708,UBASH3B_UBS3B
709,NT5C_NT5C
710,PKN1_PKN1
711,TNFAIP8_TFIP8
712,NIP7_NIP7
713,KEAP1_KEAP1
714,CCT5_TCP_1_epsilon
715,ARL3_ARL3
716,EFS_EFS
717,TRIM3_TRIM3
718,EDN2_Endothelin_2
719,MTHFD1_C1TC
720,MAGEA3_MAGE_3
721,FEN1_FLAP_endonuclease_1
722,ARF3_ARF3
723,PSMB5_PSB5
724,IMPA2_IMPA2
725,ARAF_ARAF
726,ERCC1_ERCC1
727,ARL2_ARL2
728,OPHN1_Oligophrenin_1
729,PDRG1_PDRG1
730,GCA_GRAN
731,TMOD1_TMOD1
732,ATG5_Autophagy_protein_5
733,FERMT3_URP2
734,PABPC4_PABP4
735,SCMH1_SCMH1
736,EXOSC3_Exosome_component_3
737,PSMB1_PSB1
738,NRBP1_NRBP
739,STK24_STK24
740,AKR1C1_Aldo_keto_reductase_1C1
741,PPM1A_Protein_phophatase_2Ca
742,SEPT11_Septin_11
743,PPP2R1A_PP2AAA
744,ASH1L_ASH1L
745,JARID2_JARD2
746,KLHL7_KLHL7
747,SENP7_SENP7
748,ATG7_ATG7
749,LANCL2_LANC2
750,ARFIP2_ARFP2
751,NAT1_ARY1
752,PTPN9_PTN9
753,BCAR3_BCAR3
754,TRDMT1_TRDMT
755,SMYD2_SMYD2
756,CRAT_CACP
757,INPP5B_I5P2
758,ARRB1_ARRB1
759,ADSS_PURA2
760,RPE_RPE
761,SETD2_SETD2
762,GNAI3_GNAI3
763,PDK2_PDK2
764,AHCYL1_SAHH2
765,CSNK1G2_CSNK1G2
766,NAPB_SNAB
767,KLC1_KLC1
768,TSTA3_FCL
769,PANK3_PANK3
770,OLA1_GTPB9
771,GABARAPL1_GBRL1
772,ECH1_ECH1
773,TST_THTR
774,PTPN13_PTN13
775,ILF2_ILF2
776,GDA_GUAD
777,VPS4B_VPS4B
778,HECW1_HECW1
779,RAD1_RAD1
780,SULT1B1_ST1B1
781,DARS_SYDC
782,PACSIN1_PACN1
783,FLII_FLII
784,SNRPA_SNRPA
785,USP21_UBP21
786,CCBL2_KAT3
787,DPYSL5_DPYL5
788,SCIN_ADSV
789,HOMER2_HOME2
790,MPST_THTM
791,DECR1_DECR
792,RPS6KA6_KS6A6
793,ARPC1B_ARC1B
794,SEPT10_SEP10
795,SHMT2_GLYM
796,DOT1L_DOT1L
797,SH3BGRL_SH3L1
798,DIMT1_DIM1
799,KLHL12_KLH12
800,PRMT3_ANM3
801,PIP4K2A_PI42A
802,KPNA4_IMA4
803,CCT8_TCP_1_theta
804,ACLY_ACLY
805,EIF1B_EIF1B
806,PELI2_PELI2
807,NEK7_NEK7
808,SH2D3C_SH2D3
809,HERC1_HERC1
810,CDC42BPA_MRCKA
811,DPYSL3_DPYL3
812,L3MBTL2_LMBL2
813,H1FX_H1X
814,GJA8_CXA8
815,HMG20A_HM20A
816,RGS19_RGS19
817,AP1G2_AP1G2
818,DCP1B_DCP1B
819,ZNF175_ZN175
820,TOX3_TOX3
821,PIN4_PIN4
822,UBQLN4_UBQL4
823,TAX1BP1_TAXB1
824,CIRBP_CIRBP
825,RFXAP_RFXAP
826,PTGFRN_FPRP
827,PSMG3_PSMG3
828,NDC80_KNTC2
829,PLEKHA7_PKHA7
830,MPP7_MPP7
831,KIF22_KIF22
832,CSDE1_CSDE1
833,PLS1_PLSI
834,NISCH_NISCH
835,FEV_FEV
836,TMEM8B_TMM8B
837,BAG5_BAG5
838,CYTH4_CYH4
839,RBM3_RBM3
840,BRDT_BRDT
841,ITGB2_LFA_1_beta_2
842,ZHX1_ZHX1
843,APBB2_APBB2
844,CSDC2_CSDC2
845,BACH2_BACH2
846,GRID2_GRID2
847,ILF3_DRBP76
848,ZNF774_ZN774
849,APBB2_APBB2
850,ZNF334_ZN334
851,ELMO1_ELMO1
852,GPR142_GP142
853,PPP1R3B_PPR3B
854,ZNF180_ZN180
855,NUP98_NUP98
856,HCN1_HCN1
857,HMGB3_HMGB3
858,SF1_SF01
859,PRDM4_PRDM4
860,TARBP2_TRBP2
861,HNRNPM_HNRPM
862,APBB3_APBB3
863,ZBTB33_KAISO
864,GPCPD1_GDE5
865,ZNF134_ZN134
866,CCDC101_SGF29
867,CCDC51_CCD51
868,PIWIL1_PIWL1
869,NLRP4_NALP4
870,ZNF566_ZN566
871,NUDT3_NUDT3
872,SLC4A8_S4A8
873,DNAJC27_DJC27
874,TPPP2_TPPP2
875,IRF2_IRF2
876,ZNF329_ZN329
877,GMEB2_GMEB2
878,ARHGAP30_RHG30
879,CARHSP1_CHSP1
880,ZNF415_ZN415
881,ACYP2_ACYP2
882,EHBP1_EHBP1
883,RNPC3_RBM40
884,IARS_SYIC
885,GEM_GEM
886,SLC14A2_UT2
887,GRAP_GRAP
888,NLRP10_NAL10
889,APBB1_APBB1
890,APPL1_DP13A
891,SLC5A5_SC5A5
892,RGS3_RGS3
893,SAP18_SAP18
894,TESC_TESC
895,ASH2L_ASH2L
896,KCNF1_KCNF1
897,PYDC1_PYDC1
898,DUSP15_DUS15
899,STX10_STX10
900,ZNF410_ZN410
901,BAG4_BAG4
902,SNX17_SNX17
903,FBXL5_FBXL5
904,RNGTT_MCE1
905,ARHGEF2_ARHG2
906,GSKIP_GSKIP
907,POLM_DPOLM
908,TMOD2_TMOD2
909,TEAD3_TEAD3
910,CASS4_CT032
911,TMEM237_TM237
912,ECI2_PECI
913,ARPP21_cAMP_regulated_phosphoprotein_21
914,TMOD3_TMOD3
915,NEDD9_CASL
916,NIPAL4_NIPA4
917,DYNLT3_DYLT3
918,DDX6_DDX6
919,TWF1_TWF1
920,CNGA2_CNGA2
921,SPN_LEUK
922,UBTD2_UBTD2
923,SPEF1_SPEF1
924,OSBPL11_OSB11
925,RBL1_p107
926,SV2A_SV2A
927,RDH16_RDH16
928,PARP11_PAR11
929,NR1D2_NR1D2
930,SAP30_SAP30
931,MICALL2_MILK2
932,SYTL1_SYTL1
933,IFI16_IP16
934,PAXIP1_PAXI1
935,DGKB_DGKB
936,CUBN_cubilin
937,KRT17_Keratin_17
938,AXIN2_AXIN2
939,NR3C2_MCR
940,ENOX1_ENOX1
941,HERC5_HERC5
942,RLBP1_RLBP1
943,POLR1C_RPAC1
944,ALDH3B1_AL3B1
945,RAB18_RAB18
946,PPARA_PPARa
947,KIAA1279_KBP
948,UQCRB_UCR6
949,GCK_HXK4
950,GPR107_GP107
951,CSRP2_CSRP2
952,STAU2_STAU2
953,KRT20_Keratin_20
954,SORBS3_Vinexin_b
955,RBM22_RBM22
956,LIN7C_LIN7C
957,SRSF7_SRSF7
958,EWSR1_EWS
959,MAP3K3_MAP3K3
960,CUL9_CUL9
961,NPLOC4_NPL4
962,LCN10_LCN10
963,RPS10_RS10
